Restaurant Name,Rating,Cuisine,Average Price,Average Delivery Time,Safety Measure,Location,Is_Duplicate
Campus Bakers,4.3,"Bakery,Fast Food,Pizza,Sandwich,Burger",50.0,36.0,Restaurant partner follows WHO protocol,Agra,False
Mama Chicken Mama Franky House,4.0,"North Indian,Mughlai,Rolls,Burger,Momos",50.0,22.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
GMB - Gopika Sweets & Restaurant,4.2,"North Indian,South Indian,Chinese,Fast Food,Street Food",50.0,27.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Shree Bankey Bihari Misthan Bhandar,4.2,"Mithai,Street Food,South Indian,Chinese,Ice Cream,Desserts,Beverages",50.0,28.0,Restaurant partner follows WHO protocol,Agra,False
Burger King,4.2,"Burger,Fast Food,Beverages",50.0,26.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Star Ultimate Pizza,4.1,"Fast Food,Pasta,Beverages",50.0,31.0,Restaurant partner follows WHO protocol,Agra,False
Goverdhan Bakery,3.9,"Bakery,Fast Food,Desserts",50.0,29.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Manoj Restaurant,4.1,"South Indian,Chinese,North Indian",50.0,21.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Bikanervala,4.1,"Street Food,North Indian,Chinese,Mithai,South Indian,Fast Food,Desserts,Beverages",50.0,31.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Cake Wala,3.9,Bakery,50.0,28.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Bhagat Halwai,4.2,"Street Food,Fast Food,Pizza,Sandwich,Chinese,South Indian,Shake,Beverages",50.0,27.0,Restaurant partner follows WHO protocol,Agra,False
Kings Pizza And Burger,3.9,"Pizza,Fast Food",50.0,32.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Cake House,3.4,"Bakery,Fast Food,Beverages",100.0,43.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Bhagat Halwai,4.1,"North Indian,South Indian,Street Food,Fast Food,Beverages",100.0,28.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Bhagat Halwai,4.0,"Fast Food,Chinese,South Indian,Street Food,Mithai,Desserts,Bakery,Beverages",100.0,35.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Shiv Bhojnalaya,3.6,North Indian,100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Kwality Wall’s Frozen Dessert And Ice Cream Shop,4.3,"Ice Cream,Desserts",100.0,30.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Laziz Pizza,4.1,"Pizza,Burger,Fast Food",100.0,36.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Sardar Ji Da Dhaba,3.6,North Indian,100.0,32.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Pushpak Misthan Bhandar and Sweet,4.2,"Mithai,Street Food",100.0,26.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Shree Bankey Bihari Misthan Bhandar,4.2,"Mithai,Street Food",100.0,25.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Shri Tirupati No.1 Family Restaurant,3.8,"North Indian,South Indian,Fast Food",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Pizza Cave,4.1,"Pizza,Fast Food,Ice Cream,Beverages",100.0,38.0,Restaurant partner follows WHO protocol,Agra,False
Little N Chef,3.5,"Chinese,North Indian,Fast Food,Momos,Pizza,Sandwich",100.0,36.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Big Crust,3.8,"Pizza,Pasta,Shake,Desserts,Fast Food",150.0,43.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Shan E Hind,3.8,"North Indian,Rolls,Biryani",150.0,25.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
KFC,4.1,"Burger,Fast Food,Biryani,Desserts,Beverages",150.0,21.0,Restaurant partner follows WHO protocol,Agra,False
Chimmanlal Puri Wale,4.0,"North Indian,Street Food,Mithai",150.0,19.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
The Big Bun,4.2,"Fast Food,Burger,Desserts,Bakery",150.0,34.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Ravi Patties & Mocktail Point,3.9,Street Food,150.0,41.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Ambey Bakers,3.8,"Bakery,Fast Food,Desserts",150.0,33.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Kushwah Lassi Corner,4.3,Beverages,150.0,37.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Sattolala Food Court,4.0,"North Indian,Mithai,Fast Food",150.0,30.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Aahar,4.2,"North Indian,South Indian,Chinese,Bakery,Continental,Desserts,Beverages",150.0,35.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Bhawna Sweets,3.8,"Mithai,Desserts,Bakery",150.0,24.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Sathvik Padukone South Indian Dosa Corner,4.1,South Indian,150.0,22.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Brijbhog Mishthan Bhandar - Brij Rasayanam,4.3,"Mithai,Street Food,Fast Food,Beverages,Cafe,North Indian,Chinese",150.0,29.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Brijbhog Misthan Bhandar,4.4,"Mithai,Street Food",150.0,23.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Gopaldas Pethe Wale,4.4,"Mithai,Street Food",150.0,18.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
