Restaurant Name,Rating,Cuisine,Average Price,Average Delivery Time,Safety Measure,Location,Is_Duplicate,Price_Category,Rating_Category,Delivery_Speed_Category,Value_for_Money_Score,Cuisine_Count,Is_Multi_Cuisine,Location_Avg_Rating,Location_Avg_Price,Location_Avg_Delivery,Safety_Flag
Campus Bakers,4.3,"Bakery,Fast Food,Pizza,Sandwich,Burger",50.0,36.0,Restaurant partner follows WHO protocol,Agra,False,Low,Highly Rated,Moderate,0.086,5,True,3.8636190476190473,169.75,35.555,1
Mama Chicken Mama Franky House,4.0,"North Indian,Mughlai,Rolls,Burger,Momos",50.0,22.0,Follows all Max Safety measures to ensure your food is safe,Agra,False,Low,Moderate Rated,Moderate,0.08,5,True,3.8636190476190473,169.75,35.555,1
GMB - Gopika Sweets & Restaurant,4.2,"North Indian,South Indian,Chinese,Fast Food,Street Food",50.0,27.0,Follows all Max Safety measures to ensure your food is safe,Agra,False,Low,Highly Rated,Moderate,0.084,5,True,3.8636190476190473,169.75,35.555,1
Shree Bankey Bihari Misthan Bhandar,4.2,"Mithai,Street Food,South Indian,Chinese,Ice Cream,Desserts,Beverages",50.0,28.0,Restaurant partner follows WHO protocol,Agra,False,Low,Highly Rated,Moderate,0.084,7,True,3.8636190476190473,169.75,35.555,1
Burger King,4.2,"Burger,Fast Food,Beverages",50.0,26.0,Follows all Max Safety measures to ensure your food is safe,Agra,False,Low,Highly Rated,Moderate,0.084,3,True,3.8636190476190473,169.75,35.555,1
Star Ultimate Pizza,4.1,"Fast Food,Pasta,Beverages",50.0,31.0,Restaurant partner follows WHO protocol,Agra,False,Low,Moderate Rated,Moderate,0.08199999999999999,3,True,3.8636190476190473,169.75,35.555,1
Goverdhan Bakery,3.9,"Bakery,Fast Food,Desserts",50.0,29.0,Follows all Max Safety measures to ensure your food is safe,Agra,False,Low,Moderate Rated,Moderate,0.078,3,True,3.8636190476190473,169.75,35.555,1
Manoj Restaurant,4.1,"South Indian,Chinese,North Indian",50.0,21.0,Follows all Max Safety measures to ensure your food is safe,Agra,False,Low,Moderate Rated,Moderate,0.08199999999999999,3,True,3.8636190476190473,169.75,35.555,1
Bikanervala,4.1,"Street Food,North Indian,Chinese,Mithai,South Indian,Fast Food,Desserts,Beverages",50.0,31.0,Follows all Max Safety measures to ensure your food is safe,Agra,False,Low,Moderate Rated,Moderate,0.08199999999999999,8,True,3.8636190476190473,169.75,35.555,1
Cake Wala,3.9,Bakery,50.0,28.0,Follows all Max Safety measures to ensure your food is safe,Agra,False,Low,Moderate Rated,Moderate,0.078,1,False,3.8636190476190473,169.75,35.555,1
